id,name,specialty,avg_impact_factor,max_impact_factor,ranking
1,"Case reports in anesthesiology",NULL,NULL,NULL,NULL
2,"BMJ open",NULL,NULL,NULL,NULL
3,"Primary health care research & development",NULL,NULL,NULL,NULL
4,"The International journal of health planning and management",NULL,NULL,NULL,NULL
5,Pain,NULL,NULL,NULL,NULL
6,"BMJ mental health",NULL,NULL,NULL,NULL
7,"BMC medicine",NULL,NULL,NULL,NULL
8,"PloS one",NULL,NULL,NULL,NULL
9,"The bone & joint journal",NULL,NULL,NULL,NULL
10,"Neural networks : the official journal of the International Neural Network Society",NULL,NULL,NULL,NULL
11,"The British journal of general practice : the journal of the Royal College of General Practitioners",NULL,NULL,NULL,NULL
12,"Frontiers in veterinary science",NULL,NULL,NULL,NULL
13,"Surgical endoscopy",NULL,NULL,NULL,NULL
14,"JAMA ophthalmology",NULL,NULL,NULL,NULL
15,"Blood advances",NULL,NULL,NULL,NULL
16,"Rheumatology advances in practice",NULL,NULL,NULL,NULL
17,"The British journal of surgery",NULL,NULL,NULL,NULL
18,"Current medical research and opinion",NULL,NULL,NULL,NULL
19,Rheumatology,NULL,NULL,NULL,NULL
20,"Journal of zoo and wildlife medicine : official publication of the American Association of Zoo Veterinarians",NULL,NULL,NULL,NULL
21,"Health services research",NULL,NULL,NULL,NULL
22,ZooKeys,NULL,NULL,NULL,NULL
23,"The Lancet regional health. Europe",NULL,NULL,NULL,NULL
24,"European journal of preventive cardiology",NULL,NULL,NULL,NULL
25,"Musculoskeletal care",NULL,NULL,NULL,NULL
26,"Veterinary anaesthesia and analgesia",NULL,NULL,NULL,NULL
27,"Journal of clinical medicine",NULL,NULL,NULL,NULL
28,Entropy,NULL,NULL,NULL,NULL
29,Zootaxa,NULL,NULL,NULL,NULL
30,"Veterinary medicine and science",NULL,NULL,NULL,NULL
31,"Annals of surgical oncology",NULL,NULL,NULL,NULL
32,"Substance abuse treatment, prevention, and policy",NULL,NULL,NULL,NULL
33,"Clinical chemistry",NULL,NULL,NULL,NULL
34,"SAGE open medical case reports",NULL,NULL,NULL,NULL
35,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",NULL,NULL,NULL,NULL
36,"Drug delivery and translational research",NULL,NULL,NULL,NULL
37,Cureus,NULL,NULL,NULL,NULL
38,"Frontiers in pharmacology",NULL,NULL,NULL,NULL
39,"Structural heart : the journal of the Heart Team",NULL,NULL,NULL,NULL
40,"Indian journal of cancer",NULL,NULL,NULL,NULL
41,"Dermatology practical & conceptual",NULL,NULL,NULL,NULL
42,"International journal of heart failure",NULL,NULL,NULL,NULL
43,"The western journal of emergency medicine",NULL,NULL,NULL,NULL
44,"Journal of cutaneous pathology",NULL,NULL,NULL,NULL
45,"The Journal of emergency medicine",NULL,NULL,NULL,NULL
46,"Journal of orthopaedic case reports",NULL,NULL,NULL,NULL
