resident_id,post_residency_career_type,sex,institution,fellowship,total_publications,match_year,grad_year,duration,years_during_residency,publications_per_year
21,Academic,M,Iowa,1,1,2017,2023,6,6.0,0.16666666666666666
35,Academic,M,Rochester,0,3,2017,2023,6,6.0,0.5
42,Academic,M,UPenn,0,14,2015,2021,6,6.0,2.3333333333333335
4,Academic,M,Cleveland Clinic,0,7,2017,2023,6,6.0,1.1666666666666667
5,Academic,M,Cleveland Clinic,0,4,2016,2022,6,6.0,0.6666666666666666
37,Academic,M,Rochester,0,1,2015,2022,7,7.0,0.14285714285714285
7,Academic,M,Cleveland Clinic,0,19,2015,2021,6,6.0,3.1666666666666665
8,Academic,M,Cleveland Clinic,0,2,2015,2021,6,6.0,0.3333333333333333
9,Academic,M,Columbia,0,5,2016,2023,7,7.0,0.7142857142857143
43,Academic,F,UNC,0,14,2017,2023,6,6.0,2.3333333333333335
54,Academic,F,Davis,1,0,2017,2023,6,6.0,0.0
12,Academic,M,Columbia,0,7,2015,2022,7,7.0,1.0
13,Academic,F,Duke,0,6,2017,2023,6,6.0,1.0
14,Academic,F,Emory,1,0,2017,2023,6,6.0,0.0
15,Academic,M,Emory,0,54,2017,2023,6,6.0,9.0
16,Academic,F,Emory,0,40,2015,2022,7,7.0,5.714285714285714
17,Academic,F,Emory,0,6,2016,2022,6,6.0,1.0
18,Academic,F,Emory,0,0,2015,2021,6,6.0,0.0
19,Academic,M,Northwell,1,2,2017,2023,6,6.0,0.3333333333333333
20,Academic,M,Northwell,1,1,2015,2022,7,7.0,0.14285714285714285
39,Academic,F,UK,0,2,2017,2023,6,6.0,0.3333333333333333
40,Academic,M,UK,0,3,2016,2022,6,6.0,0.5
23,Academic,F,Mt Sinai,0,11,2017,2023,6,6.0,1.8333333333333333
24,Academic,F,Mt Sinai,0,0,2017,2023,6,6.0,0.0
25,Academic,M,Mt Sinai,1,14,2016,2022,6,6.0,2.3333333333333335
26,Academic,F,Mt Sinai,1,34,2015,2021,6,6.0,5.666666666666667
27,Academic,M,MUSC,0,0,2016,2022,6,6.0,0.0
28,Academic,M,MUSC,1,0,2015,2021,6,6.0,0.0
41,Academic,F,UK,0,1,2015,2021,6,6.0,0.16666666666666666
30,Academic,M,Northwestern,0,0,2017,2023,6,6.0,0.0
31,Academic,M,Stanford,0,14,2015,2023,8,8.0,1.75
32,Academic,M,Stanford,0,8,2015,2023,8,8.0,1.0
33,Academic,M,Michigan,0,7,2015,2023,8,8.0,0.875
34,Academic,M,Michigan,1,0,2015,2022,7,7.0,0.0
46,Academic,M,UPMC,0,3,2015,2023,8,8.0,0.375
47,Academic,F,UPMC,0,6,2015,2023,8,8.0,0.75
48,Academic,F,UPMC,1,50,2015,2023,8,8.0,6.25
49,Academic,M,USC,1,1,2016,2023,7,7.0,0.14285714285714285
52,Academic,M,UT Antonio,0,10,2016,2022,6,6.0,1.6666666666666667
53,Academic,M,UVA,1,1,2015,2023,8,8.0,0.125
56,Academic,F,Yale,0,1,2016,2022,6,6.0,0.16666666666666666
57,Academic,M,Brigham,0,26,2016,2024,8,8.0,3.25
62,Academic,M,Columbia,0,0,2018,2024,6,6.0,0.0
64,Academic,M,Emory,0,0,2018,2024,6,6.0,0.0
65,Academic,M,Emory,1,15,2016,2024,8,8.0,1.875
67,Academic,M,Iowa,0,4,2016,2024,8,8.0,0.5
68,Academic,M,MUSC,0,0,2018,2024,6,6.0,0.0
69,Academic,F,MUSC,0,0,2018,2024,6,6.0,0.0
71,Academic,M,Stanford,0,99,2015,2024,9,9.0,11.0
75,Academic,M,UPenn,0,23,2016,2024,8,8.0,2.875
77,Academic,M,UPMC,0,6,2016,2024,8,8.0,0.75
80,Academic,F,UT Antonio,0,5,2018,2024,6,6.0,0.8333333333333334
81,Academic,M,UVA,0,3,2016,2024,8,8.0,0.375
82,Academic,M,Yale,0,153,2015,2024,9,9.0,17.0
83,Academic,M,Yale,0,20,2018,2024,6,6.0,3.3333333333333335
29,Private,M,Northwestern,0,4,2016,2022,6,6.0,0.6666666666666666
36,Private,M,Rochester,0,12,2016,2022,6,6.0,2.0
58,Private,M,Cincinnati,0,0,2018,2024,6,6.0,0.0
59,Private,M,Cleveland Clinic,0,1,2018,2024,6,6.0,0.16666666666666666
60,Private,M,Cleveland Clinic,0,6,2018,2024,6,6.0,1.0
61,Private,M,Cleveland Clinic,0,0,2018,2024,6,6.0,0.0
38,Private,F,Uwash,0,2,2015,2021,6,6.0,0.3333333333333333
63,Private,M,Duke,0,0,2018,2024,6,6.0,0.0
1,Private,F,Cincinnati,0,0,2015,2021,6,6.0,0.0
45,Private,M,UNC,0,10,2015,2021,6,6.0,1.6666666666666667
66,Private,M,Northwell,0,15,2018,2024,6,6.0,2.5
2,Private,M,Cincinnati,0,1,2017,2023,6,6.0,0.16666666666666666
3,Private,M,Cleveland Clinic,0,4,2017,2023,6,6.0,0.6666666666666666
6,Private,M,Cleveland Clinic,0,2,2016,2022,6,6.0,0.3333333333333333
70,Private,M,Stanford,0,0,2016,2024,8,8.0,0.0
10,Private,M,Columbia,0,7,2015,2023,8,8.0,0.875
72,Private,M,Michigan,0,2,2018,2024,6,6.0,0.3333333333333333
73,Private,M,Uwash,0,0,2018,2024,6,6.0,0.0
74,Private,M,UK,0,1,2018,2024,6,6.0,0.16666666666666666
50,Private,F,USC,0,0,2015,2022,7,7.0,0.0
76,Private,F,UPenn,0,0,2016,2024,8,8.0,0.0
51,Private,F,UT Antonio,0,0,2017,2023,6,6.0,0.0
