resident_id,post_residency_career_type,sex,institution,fellowship,total_publications,match_year,grad_year,duration,years_during_residency,publications_per_year,avg_if,pub_count
21,Academic,M,Iowa,1,1,2017,2023,6,6.0,0.1666666666666666,2.0,1.0
35,Academic,M,Rochester,0,3,2017,2023,6,6.0,0.5,3.3333,3.0
42,Academic,M,UPenn,0,14,2015,2021,6,6.0,2.333333333333333,6.1429,35.0
4,Academic,M,Cleveland Clinic,0,7,2017,2023,6,6.0,1.1666666666666667,3.0714,14.0
5,Academic,M,Cleveland Clinic,0,4,2016,2022,6,6.0,0.6666666666666666,3.3333,6.0
37,Academic,M,Rochester,0,1,2015,2022,7,7.0,0.1428571428571428,3.0,2.0
7,Academic,M,Cleveland Clinic,0,19,2015,2021,6,6.0,3.1666666666666665,4.3214,28.0
8,Academic,M,Cleveland Clinic,0,2,2015,2021,6,6.0,0.3333333333333333,5.0,5.0
9,Academic,M,Columbia,0,5,2016,2023,7,7.0,0.7142857142857143,2.0,5.0
43,Academic,F,UNC,0,14,2017,2023,6,6.0,2.333333333333333,2.85,20.0
54,Academic,F,Davis,1,0,2017,2023,6,6.0,0.0,,
12,Academic,M,Columbia,0,7,2015,2022,7,7.0,1.0,3.6316,19.0
13,Academic,F,Duke,0,6,2017,2023,6,6.0,1.0,3.3333,12.0
14,Academic,F,Emory,1,0,2017,2023,6,6.0,0.0,,
15,Academic,M,Emory,0,54,2017,2023,6,6.0,9.0,5.1475,61.0
16,Academic,F,Emory,0,40,2015,2022,7,7.0,5.714285714285714,5.129,62.0
17,Academic,F,Emory,0,6,2016,2022,6,6.0,1.0,2.0,12.0
18,Academic,F,Emory,0,0,2015,2021,6,6.0,0.0,,
19,Academic,M,Northwell,1,2,2017,2023,6,6.0,0.3333333333333333,3.0,1.0
20,Academic,M,Northwell,1,1,2015,2022,7,7.0,0.1428571428571428,2.0,1.0
39,Academic,F,UK,0,2,2017,2023,6,6.0,0.3333333333333333,2.0,1.0
40,Academic,M,UK,0,3,2016,2022,6,6.0,0.5,2.25,4.0
23,Academic,F,Mt Sinai,0,11,2017,2023,6,6.0,1.8333333333333333,8.3333,12.0
24,Academic,F,Mt Sinai,0,0,2017,2023,6,6.0,0.0,,
25,Academic,M,Mt Sinai,1,14,2016,2022,6,6.0,2.333333333333333,3.0476,21.0
26,Academic,F,Mt Sinai,1,34,2015,2021,6,6.0,5.666666666666667,5.4051,79.0
27,Academic,M,MUSC,0,0,2016,2022,6,6.0,0.0,4.0,1.0
28,Academic,M,MUSC,1,0,2015,2021,6,6.0,0.0,1.5,2.0
41,Academic,F,UK,0,1,2015,2021,6,6.0,0.1666666666666666,3.0,6.0
30,Academic,M,Northwestern,0,0,2017,2023,6,6.0,0.0,,
31,Academic,M,Stanford,0,14,2015,2023,8,8.0,1.75,6.1429,14.0
32,Academic,M,Stanford,0,8,2015,2023,8,8.0,1.0,6.2727,11.0
33,Academic,M,Michigan,0,7,2015,2023,8,8.0,0.875,3.8,5.0
34,Academic,M,Michigan,1,0,2015,2022,7,7.0,0.0,4.0,1.0
46,Academic,M,UPMC,0,3,2015,2023,8,8.0,0.375,2.6667,3.0
47,Academic,F,UPMC,0,6,2015,2023,8,8.0,0.75,2.5,6.0
48,Academic,F,UPMC,1,50,2015,2023,8,8.0,6.25,3.7377,61.0
49,Academic,M,USC,1,1,2016,2023,7,7.0,0.1428571428571428,3.0,1.0
52,Academic,M,UT Antonio,0,10,2016,2022,6,6.0,1.6666666666666667,4.2,10.0
53,Academic,M,UVA,1,1,2015,2023,8,8.0,0.125,3.2727,11.0
56,Academic,F,Yale,0,1,2016,2022,6,6.0,0.1666666666666666,1.0,1.0
57,Academic,M,Brigham,0,26,2016,2024,8,8.0,3.25,3.92,25.0
62,Academic,M,Columbia,0,0,2018,2024,6,6.0,0.0,,
64,Academic,M,Emory,0,0,2018,2024,6,6.0,0.0,,
65,Academic,M,Emory,1,15,2016,2024,8,8.0,1.875,8.875,8.0
67,Academic,M,Iowa,0,4,2016,2024,8,8.0,0.5,1.3333,3.0
68,Academic,M,MUSC,0,0,2018,2024,6,6.0,0.0,,
69,Academic,F,MUSC,0,0,2018,2024,6,6.0,0.0,,
71,Academic,M,Stanford,0,99,2015,2024,9,9.0,11.0,5.8776,98.0
75,Academic,M,UPenn,0,23,2016,2024,8,8.0,2.875,3.6522,23.0
77,Academic,M,UPMC,0,6,2016,2024,8,8.0,0.75,2.5,6.0
80,Academic,F,UT Antonio,0,5,2018,2024,6,6.0,0.8333333333333334,2.3333,6.0
81,Academic,M,UVA,0,3,2016,2024,8,8.0,0.375,2.25,4.0
82,Academic,M,Yale,0,153,2015,2024,9,9.0,17.0,6.0429,163.0
83,Academic,M,Yale,0,20,2018,2024,6,6.0,3.333333333333333,2.1538,13.0
29,Private,M,Northwestern,0,4,2016,2022,6,6.0,0.6666666666666666,3.25,4.0
36,Private,M,Rochester,0,12,2016,2022,6,6.0,2.0,4.5625,16.0
58,Private,M,Cincinnati,0,0,2018,2024,6,6.0,0.0,,
59,Private,M,Cleveland Clinic,0,1,2018,2024,6,6.0,0.1666666666666666,5.0,1.0
60,Private,M,Cleveland Clinic,0,6,2018,2024,6,6.0,1.0,4.0,6.0
61,Private,M,Cleveland Clinic,0,0,2018,2024,6,6.0,0.0,4.0,1.0
38,Private,F,Uwash,0,2,2015,2021,6,6.0,0.3333333333333333,3.0,2.0
63,Private,M,Duke,0,0,2018,2024,6,6.0,0.0,,
1,Private,F,Cincinnati,0,0,2015,2021,6,6.0,0.0,1.0,1.0
45,Private,M,UNC,0,10,2015,2021,6,6.0,1.6666666666666667,16.3,10.0
66,Private,M,Northwell,0,15,2018,2024,6,6.0,2.5,7.0,14.0
2,Private,M,Cincinnati,0,1,2017,2023,6,6.0,0.1666666666666666,,
3,Private,M,Cleveland Clinic,0,4,2017,2023,6,6.0,0.6666666666666666,2.5,2.0
6,Private,M,Cleveland Clinic,0,2,2016,2022,6,6.0,0.3333333333333333,5.0,1.0
70,Private,M,Stanford,0,0,2016,2024,8,8.0,0.0,,
10,Private,M,Columbia,0,7,2015,2023,8,8.0,0.875,3.25,8.0
72,Private,M,Michigan,0,2,2018,2024,6,6.0,0.3333333333333333,3.5714,7.0
73,Private,M,Uwash,0,0,2018,2024,6,6.0,0.0,,
74,Private,M,UK,0,1,2018,2024,6,6.0,0.1666666666666666,1.0,1.0
50,Private,F,USC,0,0,2015,2022,7,7.0,0.0,4.0,1.0
76,Private,F,UPenn,0,0,2016,2024,8,8.0,0.0,,
