resident_id,post_residency_career_type,sex,institution,fellowship,total_publications,grad_year,years_post_graduation,publications_per_year,avg_if,pub_count
21,Academic,M,Iowa,1,0,2023,2.31895961670089,0.0,2.0,1.0
35,Academic,M,Rochester,0,1,2023,2.31895961670089,0.4312278630460448,3.3333,3.0
42,Academic,M,UPenn,0,26,2021,4.317590691307323,6.021876981610654,6.1429,35.0
4,Academic,M,Cleveland Clinic,0,6,2023,2.31895961670089,2.5873671782762693,3.0714,14.0
5,Academic,M,Cleveland Clinic,0,1,2022,3.3182751540041067,0.3013613861386138,3.3333,6.0
37,Academic,M,Rochester,0,1,2022,3.3182751540041067,0.3013613861386138,3.0,2.0
7,Academic,M,Cleveland Clinic,0,21,2021,4.317590691307323,4.863823715916297,4.3214,28.0
8,Academic,M,Cleveland Clinic,0,4,2021,4.317590691307323,0.9264426125554852,5.0,5.0
9,Academic,M,Columbia,0,2,2023,2.31895961670089,0.8624557260920896,2.0,5.0
43,Academic,F,UNC,0,5,2023,2.31895961670089,2.156139315230224,2.85,20.0
54,Academic,F,Davis,1,0,2023,2.31895961670089,0.0,,
12,Academic,M,Columbia,0,10,2022,3.3182751540041067,3.0136138613861387,3.6316,19.0
13,Academic,F,Duke,0,5,2023,2.31895961670089,2.156139315230224,3.3333,12.0
14,Academic,F,Emory,1,0,2023,2.31895961670089,0.0,,
15,Academic,M,Emory,0,16,2023,2.31895961670089,6.899645808736717,5.1475,61.0
16,Academic,F,Emory,0,23,2022,3.3182751540041067,6.931311881188119,5.129,62.0
17,Academic,F,Emory,0,6,2022,3.3182751540041067,1.8081683168316836,2.0,12.0
18,Academic,F,Emory,0,0,2021,4.317590691307323,0.0,,
19,Academic,M,Northwell,1,0,2023,2.31895961670089,0.0,3.0,1.0
20,Academic,M,Northwell,1,0,2022,3.3182751540041067,0.0,2.0,1.0
39,Academic,F,UK,0,0,2023,2.31895961670089,0.0,2.0,1.0
40,Academic,M,UK,0,1,2022,3.3182751540041067,0.3013613861386138,2.25,4.0
23,Academic,F,Mt Sinai,0,1,2023,2.31895961670089,0.4312278630460448,8.3333,12.0
24,Academic,F,Mt Sinai,0,2,2023,2.31895961670089,0.8624557260920896,,
25,Academic,M,Mt Sinai,1,6,2022,3.3182751540041067,1.8081683168316836,3.0476,21.0
26,Academic,F,Mt Sinai,1,43,2021,4.317590691307323,9.959258084971465,5.4051,79.0
27,Academic,M,MUSC,0,0,2022,3.3182751540041067,0.0,4.0,1.0
28,Academic,M,MUSC,1,2,2021,4.317590691307323,0.4632213062777426,1.5,2.0
41,Academic,F,UK,0,5,2021,4.317590691307323,1.1580532656943563,3.0,6.0
30,Academic,M,Northwestern,0,0,2023,2.31895961670089,0.0,,
31,Academic,M,Stanford,0,1,2023,2.31895961670089,0.4312278630460448,6.1429,14.0
32,Academic,M,Stanford,0,5,2023,2.31895961670089,2.156139315230224,6.2727,11.0
33,Academic,M,Michigan,0,0,2023,2.31895961670089,0.0,3.8,5.0
34,Academic,M,Michigan,1,1,2022,3.3182751540041067,0.3013613861386138,4.0,1.0
46,Academic,M,UPMC,0,0,2023,2.31895961670089,0.0,2.6667,3.0
47,Academic,F,UPMC,0,0,2023,2.31895961670089,0.0,2.5,6.0
48,Academic,F,UPMC,1,10,2023,2.31895961670089,4.312278630460448,3.7377,61.0
49,Academic,M,USC,1,0,2023,2.31895961670089,0.0,3.0,1.0
52,Academic,M,UT Antonio,0,0,2022,3.3182751540041067,0.0,4.2,10.0
53,Academic,M,UVA,1,4,2023,2.31895961670089,1.7249114521841793,3.2727,11.0
56,Academic,F,Yale,0,0,2022,3.3182751540041067,0.0,1.0,1.0
57,Academic,M,Brigham,0,1,2024,1.3169062286105406,0.7593555093555094,3.92,25.0
62,Academic,M,Columbia,0,0,2024,1.3169062286105406,0.0,,
64,Academic,M,Emory,0,0,2024,1.3169062286105406,0.0,,
65,Academic,M,Emory,1,0,2024,1.3169062286105406,0.0,8.875,8.0
67,Academic,M,Iowa,0,0,2024,1.3169062286105406,0.0,1.3333,3.0
68,Academic,M,MUSC,0,0,2024,1.3169062286105406,0.0,,
69,Academic,F,MUSC,0,0,2024,1.3169062286105406,0.0,,
71,Academic,M,Stanford,0,8,2024,1.3169062286105406,6.074844074844076,5.8776,98.0
75,Academic,M,UPenn,0,2,2024,1.3169062286105406,1.5187110187110189,3.6522,23.0
77,Academic,M,UPMC,0,0,2024,1.3169062286105406,0.0,2.5,6.0
80,Academic,F,UT Antonio,0,1,2024,1.3169062286105406,0.7593555093555094,2.3333,6.0
81,Academic,M,UVA,0,1,2024,1.3169062286105406,0.7593555093555094,2.25,4.0
82,Academic,M,Yale,0,15,2024,1.3169062286105406,11.39033264033264,6.0429,163.0
83,Academic,M,Yale,0,1,2024,1.3169062286105406,0.7593555093555094,2.1538,13.0
29,Private,M,Northwestern,0,0,2022,3.3182751540041067,0.0,3.25,4.0
36,Private,M,Rochester,0,15,2022,3.3182751540041067,4.520420792079208,4.5625,16.0
58,Private,M,Cincinnati,0,0,2024,1.3169062286105406,0.0,,
59,Private,M,Cleveland Clinic,0,0,2024,1.3169062286105406,0.0,5.0,1.0
60,Private,M,Cleveland Clinic,0,0,2024,1.3169062286105406,0.0,4.0,6.0
61,Private,M,Cleveland Clinic,0,0,2024,1.3169062286105406,0.0,4.0,1.0
38,Private,F,Uwash,0,0,2021,4.317590691307323,0.0,3.0,2.0
63,Private,M,Duke,0,0,2024,1.3169062286105406,0.0,,
