journal_name,publication_count
The Journal of thoracic and cardiovascular surgery,8
The Annals of thoracic surgery,5
Journal of the American College of Cardiology,5
Journal of thoracic disease,3
European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,3
Seminars in thoracic and cardiovascular surgery,2
Annals of cardiothoracic surgery,2
Current opinion in cardiology,2
Interactive cardiovascular and thoracic surgery,2
Anticancer research,2
Journal of critical care,2
Journal of clinical and diagnostic research : JCDR,1
Pediatric transplantation,1
PloS one,1
The Journal of surgical research,1
Journal of applied research in intellectual disabilities : JARID,1
Sexually transmitted infections,1
Laboratory investigation; a journal of technical methods and pathology,1
The American journal of cardiology,1
European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,1
ACG case reports journal,1
Acta medica portuguesa,1
Nutrients,1
Neurosurgery,1
Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,1
Clinics in colon and rectal surgery,1
Dermatology practical & conceptual,1
JAMA dermatology,1
Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,1
Circulation,1
Scientific reports,1
Cardiovascular diabetology,1
Urology,1
Asian cardiovascular & thoracic annals,1
