journal_name,publication_count
Journal of cardiac surgery,10
JTCVS techniques,9
JTCVS open,8
The Annals of thoracic surgery,7
The Journal of thoracic and cardiovascular surgery,6
The Journal of surgical research,4
European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,3
Seminars in thoracic and cardiovascular surgery,3
Bone marrow transplantation,3
Annals of cardiothoracic surgery,3
Cureus,3
Case reports in anesthesiology,2
Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,2
Frontiers in oncology,2
Journal of the Belgian Society of Radiology,2
Interactive cardiovascular and thoracic surgery,2
ASAIO journal (American Society for Artificial Internal Organs : 1992),2
The American journal of cardiology,2
Cardiovascular engineering and technology,2
Scientific reports,2
Frontiers in cardiovascular medicine,2
Journal of clinical medicine,2
"Substance abuse treatment, prevention, and policy",1
Nature communications,1
European heart journal. Cardiovascular Imaging,1
JAMA psychiatry,1
HeartRhythm case reports,1
Journal of cardiovascular translational research,1
Journal of visualized experiments : JoVE,1
The Lancet. Haematology,1
Clinical hematology international,1
Radiology case reports,1
Infection control and hospital epidemiology,1
Insights into imaging,1
BMJ open,1
Frontiers in behavioral neuroscience,1
Microbiology spectrum,1
Frontiers in genetics,1
Cells,1
Communications biology,1
Scandinavian journal of gastroenterology,1
Frontiers in cell and developmental biology,1
BME frontiers,1
Artificial organs,1
Journal of the American Heart Association,1
Journal of the American College of Cardiology,1
Nutrients,1
International journal of dental hygiene,1
Journal for immunotherapy of cancer,1
European journal of case reports in internal medicine,1
International journal of environmental research and public health,1
"Foods (Basel, Switzerland)",1
"Molecules (Basel, Switzerland)",1
"Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine",1
Chest,1
Journal of clinical anesthesia,1
Journal of interventional cardiology,1
Journal of cardiac failure,1
Journal of cardiothoracic and vascular anesthesia,1
Journal of pain and symptom management,1
The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,1
Current problems in surgery,1
"Light, science & applications",1
JACC. Cardiovascular interventions,1
Panminerva medica,1
Cancer cell,1
Cleveland Clinic journal of medicine,1
Circulation. Cardiovascular interventions,1
Annals of biomedical engineering,1
Acta biomaterialia,1
World journal of surgery,1
Surgical innovation,1
Transplant international : official journal of the European Society for Organ Transplantation,1
Frontiers in bioengineering and biotechnology,1
World journal for pediatric & congenital heart surgery,1
Journal of the mechanical behavior of biomedical materials,1
Indian journal of thoracic and cardiovascular surgery,1
Cardiology and therapy,1
Annals of vascular surgery,1
NPJ digital medicine,1
PloS one,1
"Aorta (Stamford, Conn.)",1
The Canadian journal of cardiology,1
American heart journal,1
Clinical therapeutics,1
BMJ (Clinical research ed.),1
Journal of cardiothoracic surgery,1
Indian journal of urology : IJU : journal of the Urological Society of India,1
